SubjectId,GaitCycle-Number,Duration,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Frame 11,Frame 12,Frame 13,Frame 14,Frame 15,Frame 16,Frame 17,Frame 18,Frame 19,Frame 20,Frame 21,Frame 22,Frame 23,Frame 24,Frame 25,Frame 26,Frame 27,Frame 28,Frame 29,Frame 30,Frame 31,Frame 32,Frame 33,Frame 34,Frame 35,Frame 36,Frame 37,Frame 38,Frame 39,Frame 40,Frame 41,Frame 42,Frame 43,Frame 44,Frame 45,Frame 46,Frame 47,Frame 48,Frame 49,Frame 50,Frame 51,Frame 52,Frame 53,Frame 54,Frame 55,Frame 56,Frame 57,Frame 58,Frame 59,Frame 60,Frame 61,Frame 62,Frame 63,Frame 64,Frame 65,Frame 66,Frame 67,Frame 68,Frame 69,Frame 70,Frame 71,Frame 72,Frame 73,Frame 74,Frame 75,Frame 76,Frame 77
BD004,2,0.73,-0.553863,0.334303,1.21231,2.06942,2.86436,3.55992,4.18437,4.8867397,5.9181,7.53265,9.82579,12.6595,15.7671,18.9371,22.0919,25.2354,28.3593,31.391602,34.2175,36.7204,38.8091,40.4202,41.5272,42.1398,42.3021,42.0864,41.5752,40.8582,40.0073,39.0872,38.1658,37.3261,36.6439,36.1682,35.8723,35.6824,35.4767,35.1274,34.5191,33.6269,32.558994,31.5238,30.701302,30.0971,29.5355,28.816002,27.8789,26.7984,25.652,24.470598,23.2821,22.1199,20.9442,19.6396,18.0746,16.2054,14.0929,11.861,9.6259,7.4735894,5.44228,3.5276,1.70527,-0.0337621,-1.64723,-3.04226,-4.10007,-4.71391,-4.83269,-4.48243,-3.7760603,-2.87669,-1.91125,-0.96272796,,,
CL007,1,0.76,-7.33477,-7.03162,-6.7251697,-6.42261,-6.1142,-5.75912,-5.2984896,-4.65289,-3.7320998,-2.45764,-0.775961,1.32747,3.82783,6.66357,9.74993,12.993,16.3002,19.5867,22.7747,25.7927,28.5749,31.057098,33.1849,34.9112,36.2072,37.0626,37.4913,37.5313,37.2446,36.7121,36.0254,35.2769,34.5485,33.9005,33.3656,32.9462,32.6151,32.3251,32.0193,31.6451,31.165699,30.558598,29.815002,28.929602,27.8994,26.725399,25.4211,24.019,22.5694,21.129799,19.7511,18.4642,17.2729,16.1545,15.066701,13.9564,12.7681,11.4523,9.97496,8.3265295,6.5254097,4.61585,2.66164,0.73300195,-1.10466,-2.7968,-4.30392,-5.59848,-6.66305,-7.4865694,-8.06369,-8.39644,-8.4959,-8.38502,-8.09739,-7.6758595,-7.1670303
AJ026,2,0.7,1.61613,2.05001,2.46953,2.9176,3.43924,4.09934,4.962,6.08582,7.5206494,9.28891,11.3851,13.773899,16.389,19.143698,21.9425,24.6907,27.2995,29.6916,31.804598,33.5924,35.025997,36.096,36.8115,37.1984,37.2986,37.1646,36.856297,36.4334,35.952198,35.4579,34.9811,34.5371,34.119,33.7054,33.2716,32.786,32.2306,31.602303,30.9174,30.206102,29.502998,28.8336,28.2027,27.5876,26.942198,26.208097,25.3307,24.2745,23.0299,21.609999,20.0454,18.3706,16.6167,14.8089,12.9668,11.1104,9.26402,7.4610996,5.74515,4.16528,2.77218,1.61249,0.720442,0.113345005,-0.211618,-0.277259,-0.12281399,0.202058,0.64465,1.15654,1.70161,,,,,,
CF027,2,0.76,-0.730351,-0.664894,-0.506799,-0.19767298,0.32488596,1.12305,2.24895,3.7345297,5.58293,7.7605405,10.2064,12.8374,15.564999,18.2998,20.9672,23.5119,25.8868,28.0712,30.047699,31.8186,33.3835,34.7438,35.906296,36.863697,37.6167,38.1723,38.538,38.7394,38.7977,38.7433,38.6056,38.4082,38.1588,37.8614,37.5121,37.1009,36.6259,36.0958,35.5485,35.0195,34.5635,34.2114,33.9606,33.7629,33.5365,33.1855,32.6238,31.8021,30.7049,29.349398,27.762299,25.9658,23.982899,21.8352,19.5463,17.1518,14.6891,12.2017,9.73581,7.33629,5.05474,2.94983,1.08896,-0.460644,-1.64559,-2.43654,-2.84532,-2.9181,-2.73772,-2.39578,-1.9908099,-1.59145,-1.24276,-0.966152,-0.746617,-0.559859,-0.35736
BL025,2,0.76,-1.12173,-0.387817,0.462711,1.48411,2.73021,4.23836,6.0234,8.07743,10.3699,12.8577,15.488,18.2047,20.9497,23.664,26.287,28.752398,30.9928,32.9471,34.5691,35.8308,36.7209,37.2419,37.4067,37.2341,36.7594,36.0261,35.102,34.0585,32.9744,31.928202,30.977697,30.1619,29.502,29.0007,28.643,28.4,28.238798,28.128,28.0538,28.0217,28.0676,28.2328,28.5354,28.928999,29.294998,29.477,29.347298,28.862398,28.0638,27.0381,25.8657,24.5832,23.183598,21.6357,19.9183,18.0371,16.0248,13.928,11.7971,9.67493,7.5986495,5.60376,3.72886,2.016,0.510501,-0.740579,-1.70287,-2.36052,-2.71676,-2.80126,-2.65558,-2.33205,-1.8778499,-1.33402,-0.72518,-0.057567395,0.67766994
