SubjectId,Number,Duration,Frame 1,Frame 2,Frame 3,Frame 4,Frame 5,Frame 6,Frame 7,Frame 8,Frame 9,Frame 10,Frame 11,Frame 12,Frame 13,Frame 14,Frame 15,Frame 16,Frame 17,Frame 18,Frame 19,Frame 20,Frame 21,Frame 22,Frame 23,Frame 24,Frame 25,Frame 26,Frame 27,Frame 28,Frame 29,Frame 30,Frame 31,Frame 32,Frame 33,Frame 34,Frame 35,Frame 36,Frame 37,Frame 38,Frame 39,Frame 40,Frame 41,Frame 42,Frame 43,Frame 44,Frame 45,Frame 46,Frame 47,Frame 48,Frame 49,Frame 50,Frame 51,Frame 52,Frame 53,Frame 54,Frame 55,Frame 56,Frame 57,Frame 58,Frame 59,Frame 60,Frame 61,Frame 62,Frame 63,Frame 64,Frame 65,Frame 66,Frame 67,Frame 68,Frame 69,Frame 70,Frame 71,Frame 72,Frame 73,Frame 74,Frame 75,Frame 76,Frame 77,Frame 78,Frame 79,Frame 80,Frame 81,Frame 82,Frame 83,Frame 84,Frame 85,Frame 86,Frame 87,Frame 88,Frame 89,Frame 90,Frame 91,Frame 92,Frame 93,Frame 94,Frame 95,Frame 96,Frame 97,Frame 98,Frame 99,Frame 100,Frame 101,Frame 102,Frame 103,Frame 104,Frame 105,Frame 106,Frame 107,Frame 108,Frame 109,Frame 110,Frame 111,Frame 112,Frame 113,Frame 114,Frame 115,Frame 116
CF027,2,1.01,-7.8214793,-7.78513,-7.62889,-7.3355694,-6.8886,-6.2666,-5.45072,-4.43184,-3.21801,-1.81597,-0.239972,1.4912698,3.36129,5.34501,7.4030294,9.49669,11.5793,13.6178,15.5885,17.4816,19.2864,21.0061,22.629,24.1517,25.576,26.8946,28.1087,29.212402,30.1996,31.0594,31.7924,32.3985,32.883,33.2593,33.5395,33.724,33.8235,33.8444,33.7904,33.6753,33.5092,33.3086,33.0951,32.8843,32.6883,32.5162,32.3767,32.2646,32.169,32.0757,31.947,31.7634,31.5031,31.158298,30.7397,30.264801,29.763597,29.2537,28.742098,28.2287,27.7047,27.161798,26.5782,25.9243,25.1685,24.2947,23.291899,22.1707,20.9516,19.6609,18.3211,16.9471,15.5481,14.1351,12.733699,11.3557,10.0225,8.75013,7.5572395,6.46006,5.47023,4.58974,3.81496,3.12241,2.49637,1.9025899,1.30984,0.701167,0.0584289,-0.623106,-1.34363,-2.10226,-2.87873,-3.66752,-4.44097,-5.18383,-5.88038,-6.5067496,-7.0437493,-7.4647,-7.75948,-7.9169397,,,,,,,,,,,,,,
CL007,2,1.01,-12.9114,-13.207,-13.4773,-13.6929,-13.8178,-13.8134,-13.6437,-13.278099,-12.695,-11.883,-10.8413,-9.5795,-8.1139,-6.46486,-4.65519,-2.70559,-0.636412,1.53349,3.7820797,6.08415,8.40764,10.7171,12.9743,15.143501,17.1943,19.1038,20.8565,22.4427,23.8566,25.0957,26.1595,27.0519,27.779,28.3493,28.774403,29.0673,29.244698,29.326199,29.335602,29.300299,29.2495,29.211397,29.2094,29.260899,29.375002,29.5523,29.783699,30.050303,30.325003,30.573097,30.757998,30.842,30.7942,30.591799,30.225,29.7019,29.0464,28.2937,27.478798,26.6255,25.7391,24.81,23.821898,22.7632,21.6292,20.4254,19.1627,17.8574,16.5299,15.204801,13.9036,12.641999,11.425,10.2484,9.10108,7.9698396,6.8438,5.71536,4.57974,3.43511,2.28279,1.12579,-0.031221198,-1.18092,-2.3144298,-3.4217398,-4.49299,-5.51899,-6.49158,-7.40455,-8.2532,-9.0354,-9.75082,-10.4007,-10.987599,-11.5154,-11.9897,-12.4154,-12.7969,-13.137,-13.4336,-13.6787,,,,,,,,,,,,,,
BD004,2,1.05,-14.781099,-14.8891,-14.8561,-14.667199,-14.3128,-13.7909,-13.1086,-12.276499,-11.308999,-10.2217,-9.02878,-7.7431097,-6.37197,-4.92054,-3.38972,-1.78484,-0.104682,1.6513,3.47329,5.35477,7.27481,9.22153,11.164999,13.0818,14.9484005,16.7495,18.4656,20.0917,21.6211,23.0501,24.3734,25.5822,26.6587,27.595,28.3759,28.990799,29.4344,29.705097,29.816399,29.786598,29.6423,29.424,29.174398,28.928999,28.722998,28.574,28.4879,28.4567,28.4608,28.4806,28.4968,28.5002,28.4865,28.4599,28.428799,28.4049,28.3981,28.4081,28.4175,28.3875,28.2627,27.9887,27.5282,26.8737,26.0455,25.0794,24.0132,22.8826,21.7163,20.5336,19.3547,18.1888,17.0377,15.9052,14.782101,13.6671,12.5506,11.4209,10.2739,9.10664,7.91806,6.71242,5.49665,4.28102,3.07001,1.86608,0.680647,-0.48365998,-1.6195,-2.71939,-3.78326,-4.80295,-5.78256,-6.72651,-7.62969,-8.49421,-9.31187,-10.07,-10.7637,-11.3812,-11.9273,-12.4001,-12.8099,-13.162,-13.4595,-13.698199,,,,,,,,,,
BL025,2,1.15,-9.15468,-9.441199,-9.696,-9.90095,-10.0351,-10.069499,-9.97652,-9.72792,-9.30136,-8.682119,-7.8646793,-6.8514795,-5.64975,-4.27177,-2.72945,-1.03731,0.787011,2.72049,4.7354493,6.79636,8.86709,10.915,12.9152,14.8489,16.7044,18.4738,20.154,21.7448,23.2513,24.6809,26.044098,27.3502,28.6041,29.808998,30.9622,32.0571,33.0834,34.0313,34.8871,35.6419,36.289394,36.8271,37.2512,37.5551,37.73,37.769295,37.6717,37.4449,37.104,36.6689,36.1639,35.6151,35.0467,34.4834,33.9471,33.4565,33.0218,32.6444,32.3161,32.0209,31.7381,31.444098,31.1202,30.758999,30.3622,29.931,29.46,28.9374,28.3525,27.6996,26.9828,26.2106,25.3925,24.535898,23.6446,22.7245,21.7868,20.8443,19.9036,18.9597,17.9993,17.008999,15.9826,14.9221,13.8362,12.7389,11.6426,10.5566,9.48581,8.43041,7.3894606,6.36226,5.34949,4.35408,3.38016,2.4344697,1.52231,0.651299,-0.171763,-0.942398,-1.6599499,-2.3281,-2.9523897,-3.5411298,-4.10173,-4.64178,-5.16345,-5.66535,-6.14266,-6.59033,-7.0081,-7.4024496,-7.78302,-8.15646,-8.51856,-8.85496
AJ026,2,1.02,-5.69609,-5.94434,-6.09556,-6.1176496,-5.98309,-5.66384,-5.15025,-4.43874,-3.5403,-2.47179,-1.25744,0.0791774,1.50934,3.01661,4.58644,6.20965,7.89293,9.63995,11.4551,13.3378,15.2783,17.255,19.2402,21.2043,23.1228,24.9687,26.7169,28.3461,29.8264,31.1357,32.249,33.145,33.8109,34.2387,34.4333,34.4063,34.1818,33.7918,33.2772,32.6832,32.0598,31.455402,30.9158,30.4813,30.178,30.016598,29.9881,30.0617,30.1883,30.3145,30.3891,30.375599,30.2597,30.0459,29.7585,29.431599,29.109901,28.8422,28.6662,28.5912,28.5853,28.5781,28.4801,28.2082,27.7114,26.9825,26.058,25.0039,23.8981,22.8103,21.7885,20.8513,19.991,19.1783,18.3767,17.5512,16.6784,15.7466,14.7562,13.7125,12.6225,11.4954,10.3366,9.15227,7.94846,6.7312,5.50708,4.28297,3.0664697,1.87164,0.717795,-0.368576,-1.36541,-2.25622,-3.03354,-3.70046,-4.27046,-4.76556,-5.21108,-5.62937,-6.03432,-6.43124,-6.81584,,,,,,,,,,,,,
